Tempo;X;S;A;V;
0.00;5.00;0.00;0.00;1.00;
0.50;5.58;7.91;2.74;1.20;
1.00;6.11;10.52;6.70;1.40;
1.50;7.01;6.69;12.25;1.60;
2.00;8.28;0.08;20.30;1.80;
2.50;9.11;0.05;20.46;2.00;
3.00;10.30;0.04;20.80;2.20;
3.50;10.73;0.03;23.58;2.40;
4.00;11.70;0.02;24.10;2.60;
4.50;12.31;0.02;24.82;2.80;
5.00;12.75;0.02;24.23;3.00;
5.50;13.87;0.02;24.50;3.20;
6.00;14.66;0.01;23.83;3.40;
6.50;15.44;0.01;22.84;3.60;
7.00;16.95;0.01;21.80;3.80;
7.50;17.03;0.01;19.97;4.00;
8.00;17.84;0.01;16.40;4.20;
8.50;18.13;0.01;15.99;4.40;
9.00;19.49;0.01;14.50;4.60;
9.50;21.20;0.01;10.98;4.80;
10.00;21.18;0.01;8.55;5.00;
10.50;21.60;0.01;5.06;5.20;
11.00;22.91;0.01;2.32;5.40;
11.50;24.01;0.00;0.13;5.60;
12.00;23.86;0.00;0.12;5.80;
12.50;24.17;0.00;1.32;6.00;
13.00;24.23;0.00;0.10;6.20;
13.50;24.76;0.00;0.10;6.40;
14.00;24.67;0.00;0.35;6.60;
14.50;25.28;0.00;0.09;6.80;
15.00;25.98;0.00;0.15;7.00;
15.50;25.77;0.00;0.08;7.20;
16.00;27.40;0.00;0.22;7.40;
16.50;26.21;0.00;0.07;7.60;
17.00;25.95;0.00;0.16;7.80;
17.50;26.62;0.00;0.07;8.00;
18.00;26.84;0.00;0.13;8.20;
18.50;27.00;0.00;0.06;8.40;
19.00;27.17;0.00;0.06;8.60;
19.50;27.35;0.00;0.09;8.80;
20.00;27.51;0.00;0.06;9.00;